"country","year","Title","Genre"
"South Korea, South Africa, France, Iceland, Czech Republic, Slovakia, Lithuania, Russia, Switzerland, Belgium, India, Australia, Brazil, Mexico, Argentina, United Kingdom, Canada, United States, Israel, Portugal, Poland, Greece, Romania, Germany, Spain, Singapore, Sweden, Netherlands, Italy, Thailand, Hungary, Turkey, Hong Kong, Japan, Malaysia, Colombia",2017,"Kibaoh Klashers","Adventure"
"South Korea, South Africa, Hong Kong, Thailand, Netherlands, Israel, Singapore, Malaysia",2019,"Overcomer","Drama, Family, Sport"
"South Korea, South Africa, Hungary, Czech Republic, Lithuania, Iceland, France, India, Australia, United Kingdom, Canada, United States, Russia, Argentina, Mexico, Slovakia, Thailand, Malaysia, Brazil, Colombia",2016,"Tong: Memories","Drama"
"South Korea, South Africa, Hungary, Iceland, India, Australia, United Kingdom, Canada, United States, Czech Republic, Lithuania, Russia, Argentina, Mexico, France, Slovakia, Thailand, Malaysia, Brazil, Colombia",1998,"Spark","Drama, Thriller"
"South Korea, South Africa, Iceland, France, Hungary, Czech Republic, Slovakia, Lithuania, Russia, Belgium, Switzerland, India, Australia, United Kingdom, Canada, United States, Portugal, Romania, Poland, Greece, Singapore, Spain, Germany, Sweden, Mexico, Hong Kong, Japan, Thailand, Turkey, Argentina, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2017,"My Only Love Song","Fantasy, Romance"
"South Korea, South Africa, Russia, Australia, Singapore, India, Slovakia, Czech Republic, Lithuania, United Kingdom, Canada, Hong Kong, Romania, Greece, Spain, Switzerland, Belgium, France, Poland, Sweden, Germany, Mexico, Portugal, Argentina, Japan, Iceland, Thailand, Hungary, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2019,"Romance is a bonus book","Romance"
"South Korea, South Africa, Slovakia, Czech Republic, Lithuania, Russia, Switzerland, Belgium, India, Mexico, Brazil, United Kingdom, Canada, United States, Israel, Portugal, Hong Kong, Greece, Poland, Romania, Spain, Singapore, Germany, Sweden, Netherlands, France, Iceland, Australia, Argentina, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2017,"Daughters of Destiny","Documentary"
"South Korea, South Africa, Switzerland, Canada, Germany",2013,"Walking with Dinosaurs","Adventure, Animation, Family"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"Be Melodramatic","Comedy, Romance"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"Beautiful World","Drama, Mystery"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"Flower Crew:Joseon Marriage","Comedy, History, Romance"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"Legal High","Comedy, Drama"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"Moment of Eighteen","Drama, Romance"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey",2019,"The Wind Blows","Drama"
"South Korea, South Africa, Thailand, Israel, Singapore, India, Malaysia, Turkey, Japan",2019,"The Light in Your Eyes","Comedy, Drama, Fantasy, Romance"
"South Korea, South Africa, Thailand, Singapore, Israel, Malaysia, India, Russia",1978,"More than Friends","Comedy, Drama"
"South Korea, South Africa, United Kingdom, Portugal, Lithuania, Spain, Australia",2010,"Flipped","Comedy, Drama, Romance"
"South Korea, Spain",2014,"Kundo: Age of the Rampant","Action, Drama"
"South Korea, Spain",2015,"Suite Francaise","Drama, Romance, Thriller, War"
"South Korea, Sweden, India, Netherlands, France, Iceland, Belgium",2016,"The Lady in the Van","Biography, Comedy, Drama"
"South Korea, Sweden, Russia",2019,"Ma","Crime, Mystery, Thriller"
"South Korea, Sweden, South Africa, Iceland, France, Czech Republic, Hungary, Slovakia, Lithuania, Russia, Belgium, Switzerland, India, Australia, Mexico, Argentina, Canada, United States, Portugal, Hong Kong, Poland, Romania, Singapore, Spain, Germany, Japan, Thailand, United Kingdom, Turkey, Greece, Brazil, Netherlands, Israel, Italy, Colombia",2017,"Lucid Dream","Sci-Fi, Thriller"
"South Korea, Switzerland, Belgium, France",2019,"Psycho-Pass Sinners of the System","Action, Animation, Crime, Sci-Fi"
"South Korea, Switzerland, Belgium, Iceland, Canada, Thailand, Hong Kong, Netherlands, Spain, Germany, Italy, Australia, Singapore, Greece, Malaysia, Sweden, Japan, Mexico, Argentina, Brazil, Colombia, South Africa",2015,"Pixels","Action, Comedy, Fantasy, Sci-Fi"
"South Korea, Switzerland, Belgium, Netherlands, Israel, Italy",1973,"The Exorcist","Horror"
"South Korea, Switzerland, Brazil, Germany, Italy, Argentina, Mexico, Colombia, United States, Japan",2016,"conjuring 2","Horror, Mystery, Thriller"
"South Korea, Switzerland, France, Belgium, Netherlands, Germany",2017,"Grimoire of Zero","Adventure, Animation, Fantasy"
"South Korea, Switzerland, Germany",1987,"Predator","Action, Adventure, Sci-Fi, Thriller"
"South Korea, Switzerland, Germany",1991,"Sleeping with the Enemy","Drama, Thriller"
"South Korea, Switzerland, Germany",1995,"Die Hard: With a Vengeance","Action, Adventure, Thriller"
"South Korea, Switzerland, Germany",2000,"The Beach","Adventure, Drama, Romance, Thriller"
"South Korea, Switzerland, Germany",2006,"The Devil Wears Prada","Comedy, Drama"
"South Korea, Switzerland, Germany",2010,"Black Swan","Drama, Thriller"
"South Korea, Switzerland, Germany",2011,"127 Hours","Adventure, Biography, Drama, Thriller"
"South Korea, Switzerland, Germany",2011,"Rise of the Planet of the Apes","Action, Drama, Sci-Fi, Thriller"
"South Korea, Switzerland, Germany",2012,"Prometheus","Adventure, Mystery, Sci-Fi"
"South Korea, Switzerland, Germany",2013,"The Secret Life of Walter Mitty","Adventure, Comedy, Drama, Fantasy, Romance"
"South Korea, Switzerland, Germany",2014,"Dawn of the Planet of the Apes","Action, Adventure, Drama, Sci-Fi"
"South Korea, Switzerland, Germany",2014,"The Maze Runner","Action, Mystery, Sci-Fi, Thriller"
"South Korea, Switzerland, Germany",2017,"The Villainess","Action, Crime, Drama, Thriller"
"South Korea, Switzerland, Germany, Australia",2015,"Woman in Gold","Biography, Drama, History"
"South Korea, Switzerland, Germany, France, South Africa, Mexico, Argentina, Colombia",2003,"Master and Commander: The Far Side of the World","Action, Adventure, Drama, History, War"
"South Korea, Switzerland, Hong Kong, Thailand, Germany, Singapore, Malaysia",2004,"The Day After Tomorrow","Action, Adventure, Sci-Fi, Thriller"
"South Korea, Switzerland, Hong Kong, Thailand, Germany, Singapore, Malaysia",2006,"Borat","Comedy"
"South Korea, Switzerland, Hong Kong, Thailand, Germany, Singapore, Malaysia",2010,"Predators","Action, Adventure, Sci-Fi, Thriller"
"South Korea, Switzerland, Hong Kong, Thailand, Germany, Singapore, Malaysia",2014,"Exodus: Gods and Kings","Action, Adventure, Drama, Fantasy"
"South Korea, Switzerland, Hong Kong, Thailand, Germany, Singapore, Malaysia",2014,"The Other Woman","Comedy, Romance"
"South Korea, Switzerland, Hungary, Lithuania, Romania, Canada, India, Portugal, Russia, Belgium, Czech Republic, Spain, Germany, Iceland, Israel, Poland, Slovakia, Sweden, Turkey",1996,"Sense and Sensibility","Drama, Romance"
"South Korea, Switzerland, Italy, Australia",2019,"Cats","Comedy, Drama, Family, Fantasy, Musical"
"South Korea, Switzerland, Italy, Australia, Sweden, Brazil, Argentina, Mexico, Colombia",1992,"The Bodyguard","Action, Drama, Music, Romance, Thriller"
"South Korea, Switzerland, Japan, Germany, Israel, Australia, India, Greece, Russia",1994,"Clear and Present Danger","Action, Crime, Drama, Thriller"
"South Korea, Switzerland, Portugal, France, Hungary, Czech Republic, Germany, South Africa, Iceland, Israel, Lithuania, Italy, Poland, Slovakia, Sweden, Romania, Belgium",2000,"Girl, Interrupted","Biography, Drama"
"South Korea, Switzerland, United Kingdom, Germany",2016,"Deadpool","Action, Adventure, Comedy, Sci-Fi"
"South Korea, Switzerland, United Kingdom, Japan, Mexico, Thailand, South Africa, Russia, Hong Kong, India, Hungary, Lithuania, Portugal, Belgium, Canada, Romania, France, Iceland, Brazil, Czech Republic, Netherlands, Spain, Germany, Israel, Italy, Australia, Poland, Singapore, Argentina, Slovakia, Malaysia, Sweden, Turkey, Colombia",2014,"Sonic Boom","Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi, Short"
"South Korea, Switzerland, United Kingdom, Japan, Portugal, Belgium, Iceland, Russia, Canada, Australia, Spain, United States, Israel, India, Germany, Thailand, Singapore, Malaysia, Hong Kong",2009,"Angels and Demons","Action, Mystery, Thriller"
"South Korea, Switzerland, United Kingdom, Portugal, Spain, Germany, Italy",2014,"Noragami","Action, Adventure, Animation, Comedy, Fantasy"
"South Korea, Thailand",2019,"Peninsula","Drama"
"South Korea, Thailand, Brazil, Spain, Argentina, Mexico, Colombia",2018,"Rampant","Action, Horror"
"South Korea, Thailand, Hong Kong, United Kingdom, Russia, Canada, Spain, South Africa, Iceland, Portugal, Singapore, Malaysia, Greece, India",1998,"Godzilla","Action, Sci-Fi, Thriller"
"South Korea, Thailand, India, Hong Kong, United Kingdom, Singapore, Malaysia",2012,"High School DxD","Action, Animation, Comedy, Fantasy, Romance"
"South Korea, Thailand, Italy, Singapore, Malaysia",2015,"SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesnt Exist","Animation, Comedy"
"South Korea, Thailand, Singapore, India, Malaysia",2013,"Roommate","Drama, Horror, Thriller"
"South Korea, Thailand, Singapore, Malaysia",2012,"The Thieves","Action, Comedy, Crime, Thriller"
"South Korea, Thailand, Singapore, Malaysia",2017,"Miss Kobayashis Dragon Maid","Animation, Comedy, Fantasy"
"South Korea, Thailand, Singapore, Malaysia",2017,"Tsuredure Children","Animation, Comedy, Romance"
"South Korea, Thailand, Singapore, Malaysia",2018,"Rascal Does Not Dream of Bunny Girl Senpai","Animation, Drama, Fantasy, Mystery, Romance"
"South Korea, Thailand, Singapore, Malaysia",2019,"Go Go Squid","Drama, Romance"
"South Korea, Thailand, Singapore, Malaysia, Hong Kong",2007,"August Rush","Drama, Music"
"South Korea, Turkey",1985,"Just One of the Guys","Comedy, Romance"
"South Korea, Turkey, Spain, Portugal",1966,"A Man for All Seasons","Biography, Drama, History"
"South Korea, United Kingdom, Canada, Japan, India",2018,"Hereditary","Drama, Horror, Mystery, Thriller"
"South Korea, United Kingdom, France, Japan, Belgium, Mexico, Switzerland, Brazil, Netherlands, Argentina, United States, Colombia, Iceland, Sweden, India",2011,"Mean Girls 2","Comedy"
"South Korea, United Kingdom, France, South Africa, Thailand, Hong Kong, Belgium, Spain, Germany, Israel, Singapore, Malaysia, Turkey, Greece, Poland, Czech Republic, Hungary, Slovakia, Romania",2005,"Four Brothers","Action, Crime, Drama, Mystery, Thriller"
"South Korea, United Kingdom, Hong Kong, Singapore",2015,"The Martian","Adventure, Drama, Sci-Fi"
"South Korea, United Kingdom, Hong Kong, Thailand, Singapore, Malaysia",2004,"Blade: Trinity","Action, Adventure, Fantasy, Horror, Sci-Fi"
"South Korea, United Kingdom, Mexico, Portugal, Russia, Belgium, Brazil, Netherlands, Spain, Argentina, Colombia",2014,"Ride Along","Action, Comedy, Crime"
"South Korea, United States",2017,"The Florida Project","Drama"
"South Korea, United States",2017,"The Killing of a Sacred Deer","Drama, Horror, Mystery, Thriller"
"South Korea, United States",2019,"Doom: Annihilation","Action, Adventure, Horror, Sci-Fi, Thriller"
"South Korea, United States",2019,"Jarhead: Law of Return","Action, Drama, War"
"South Korea, United States, Italy",2004,"InuYasha: The Movie 2: The Castle Beyond the Looking Glass","Action, Animation, Comedy, Romance"
"South Korea, United States, Italy",2005,"InuYasha: The Movie: Affections Touching Across Time","Action, Adventure, Animation, Fantasy"
"South Korea, United States, Italy",2006,"InuYasha: The Movie 3: Swords of an Honorable Ruler","Action, Adventure, Animation, Fantasy, Thriller"
"South Korea, United States, Italy",2006,"InuYasha: The Movie 4: Fire on the Mystic Island","Action, Adventure, Animation, Comedy"
"South Korea, United States, Italy, France",2015,"Legend","Biography, Crime, Drama, Thriller"
"South Korea, United States, Russia, Sweden, Australia",2019,"The Secret Life of Pets 2","Adventure, Animation, Comedy, Family"
"Spain",1969,"Once Upon a Time in the West","Western"
"Spain",1983,"Dark Habits","Comedy, Drama"
"Spain",1985,"What Have I Done to Deserve This?","Comedy, Drama"
"Spain",1987,"Law of Desire","Comedy, Drama, Thriller"
"Spain",1988,"Women on the Verge of a Nervous Breakdown","Comedy, Drama"
"Spain",1990,"Tie Me Up! Tie Me Down!","Comedy, Crime, Drama, Romance"
"Spain",1991,"High Heels","Comedy, Drama, Romance"
"Spain",1994,"Kika","Comedy"
"Spain",1996,"The Flower of My Secret","Drama"
"Spain",1998,"Live Flesh","Drama"
"Spain",1999,"The Nameless","Drama, Horror, Mystery, Thriller"
"Spain",2000,"All About My Mother","Drama"
"Spain",2002,"Second Name","Horror, Thriller"
"Spain",2003,"La fiesta","Comedy"
"Spain",2003,"Talk to Her","Drama, Mystery, Romance"
"Spain",2004,"Darkness","Horror"
"Spain",2004,"Werewolf Hunter","Drama, Horror"
"Spain",2005,"Bad Education","Crime, Drama"
"Spain",2005,"Fragile","Horror, Mystery, Thriller"
"Spain",2005,"Obaba","Drama"
"Spain",2006,"Dont Be Afraid","Action, Crime, Thriller"
"Spain",2007,"[REC]","Horror, Mystery, Thriller"
"Spain",2007,"Chrysalis","Crime, Drama, Sci-Fi, Thriller"
"Spain",2007,"The Painted Veil","Drama, Romance"
"Spain",2007,"Volver","Comedy, Drama"
"Spain",2008,"Igor","Animation, Comedy, Family, Fantasy"
"Spain",2008,"The Forbidden Kingdom","Action, Adventure, Fantasy"
"Spain",2009,"[REC] 2","Action, Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller"
"Spain",2009,"Cell 211","Action, Adventure, Crime, Drama, Thriller"
"Spain",2010,"Broken Embraces","Drama, Romance, Thriller"
"Spain",2010,"Let Me In","Drama, Fantasy, Horror, Mystery, Thriller"
"Spain",2011,"Sleep Tight","Drama, Thriller"
"Spain",2012,"[Rec] 3: Genesis","Action, Adventure, Fantasy, Horror, Thriller"
"Spain",2012,"El Cuerpo","Mystery, Thriller"
"Spain",2012,"R2B: Return to Base","Action, Drama, Romance"
"Spain",2012,"Tai Chi Hero","Action, Adventure"
"Spain",2012,"Tai Chi Zero","Action, Adventure, Drama"
"Spain",2013,"Flu","Action, Drama, Sci-Fi"
"Spain",2013,"Im So Excited","Comedy"
"Spain",2013,"Sao du","Action, Crime, Thriller"
"Spain",2013,"Yesterday Never Ends","Drama"
"Spain",2014,"[REC] 4: Apocalipsis","Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller"
"Spain",2014,"Get Well Soon","Comedy"
"Spain",2014,"Marcus Level","Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
"Spain",2014,"Perdona si te llamo amor","Adventure, Romance"
"Spain",2015,"<U+8056><U+95D8><U+58EB><U+661F><U+77E2> <U+9EC4><U+91D1><U+9B42> -soul of gold-","Animation, Fantasy"
"Spain",2015,"Capture the Flag","Adventure, Animation, Comedy, Family, Sci-Fi"
"Spain",2015,"El Nino","Action, Adventure, Crime, Drama, Thriller"
"Spain",2015,"Rey Gitano","Comedy"
"Spain",2015,"Under the Same Roof","Drama, Family, Short"
"Spain",2015,"Wolf Warrior","Action, Crime, Thriller, War"
"Spain",2016,"Freaktown","Animation"
"Spain",2016,"I Married a Dumbass","Comedy, Romance"
"Spain",2016,"Kiki, Love to Love","Comedy, Romance"
"Spain",2016,"May God Forgive Us","Action, Adventure, Crime, Drama, Mystery, Thriller"
"Spain",2016,"To Steal from a Thief","Action, Adventure, Crime, Drama, Thriller"
"Spain",2016,"Villaviciosa","Comedy"
"Spain",2017,"Casi leyendas","Comedy, Drama, Music"
"Spain",2017,"Gold","Adventure, History"
"Spain",2017,"Lord, Give Me Patience","Comedy"
"Spain",2017,"Lowriders","Adventure, Crime, Drama"
"Spain",2017,"McLaren","Biography, Documentary, Drama, Sport"
"Spain",2017,"Tad the Lost Explorer and the Secret of King Midas (English Version)","Adventure, Animation, Comedy, Family, Fantasy"
"Spain",2017,"The Big Call","Crime, Drama, Mystery, Thriller"
"Spain",2017,"The Looming Storm","Crime"
"Spain",2017,"Ultimate Beastmaster Spain","Game-Show, Reality-TV"
"Spain",2018,"Acusada","Crime, Drama, Thriller"
"Spain",2018,"Believer","Action, Crime, Thriller"
"Spain",2018,"Di Renjie zhi Sidatianwang","Action, Adventure, Drama, Fantasy"
"Spain",2018,"El ángel","Biography, Crime, Drama"
"Spain",2018,"Josie","Drama, Thriller"
"Spain",2018,"Las grietas de Jara","Drama, Mystery, Thriller"
"Spain",2018,"No dormirás","Horror, Mystery, Thriller"
"Spain",2018,"Yuli","Biography, Drama, Music"
"Spain",2019,"Bodies at Rest","Action, Crime, Mystery, Thriller"
"Spain",2019,"The Kill Team","Action, Biography, Drama, Thriller, War"
"Spain, Argentina, Mexico, Colombia",2017,"Chavela","Biography, Documentary, History, Music"
"Spain, Argentina, Mexico, Colombia",2017,"Holy Camp! (Sing-Along Version)","Musical"
"Spain, Argentina, Mexico, Colombia",2019,"Porno para principiantes","Comedy"
"Spain, Argentina, Switzerland, Brazil, Italy, Portugal, Mexico, Colombia",2010,"Charlie St. Cloud","Drama, Fantasy, Romance"
"Spain, Argentina, United Kingdom, Iceland, Thailand, Canada, Czech Republic, Israel, United States, Portugal, Italy, Romania, Switzerland, South Africa, Slovakia, Australia, Russia, Singapore, South Korea, Japan, India, Belgium, Poland, France, Hungary, Netherlands, Sweden, Hong Kong, Mexico, Germany, Lithuania, Brazil, Greece, Turkey, Malaysia, Colombia",2019,"Girls With Balls","Comedy, Horror"
"Spain, Argentina, United Kingdom, Sweden, Netherlands, Switzerland, France, Belgium, Brazil, Australia, Germany, Canada, United States, Portugal, Mexico, India, Russia, Greece, South Korea, Slovakia, Singapore, Poland, Czech Republic, Lithuania, Hong Kong, Iceland, Romania, South Africa, Japan, Israel, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2015,"Naomi and Elys No Kiss List","Comedy, Drama, Romance"
"Spain, Australia",2011,"Sanctum","Action, Adventure, Drama, Thriller"
"Spain, Australia, Czech Republic, United Kingdom, Canada, India, Lithuania, United States, Argentina, Russia, Slovakia, Singapore, Germany, France, Netherlands, Poland, Sweden, Israel, Hong Kong, Brazil, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Paquita Salas","Comedy"
"Spain, Australia, Germany, Czech Republic, Singapore, France, Canada, Poland, India, Sweden, Lithuania, Hong Kong, Argentina, Russia, Slovakia, Hungary, Japan, Romania, Mexico, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Thailand, Turkey, United Kingdom, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2017,"ID-0","Action, Adventure, Animation, Drama, Sci-Fi"
"Spain, Belgium, Netherlands",2017,"The Mummy","Action, Adventure, Fantasy, Thriller"
"Spain, Belgium, Netherlands, South Korea",2017,"The Fate of the Furious","Action, Adventure, Crime, Thriller"
"Spain, Belgium, Portugal, Netherlands",2008,"Welcome Home Roscoe Jenkins","Comedy, Romance"
"Spain, Belgium, Portugal, South Africa, Brazil",1985,"Out of Africa","Biography, Drama, Romance"
"Spain, Belgium, Portugal, United States, Greece, Turkey, Israel, Russia, Poland, France, Czech Republic, Hungary, Slovakia, Japan, Romania, India",2007,"Stardust","Adventure, Family, Fantasy, Romance"
"Spain, Belgium, South Korea",2018,"Vice","Biography, Comedy, Drama"
"Spain, Brazil",2018,"L Storm","Action, Crime"
"Spain, Brazil, Romania, United Kingdom, Slovakia, Canada, Iceland, Hong Kong, Argentina, South Africa, United States, Belgium, Switzerland, Czech Republic, Greece, Mexico, Australia, Japan, South Korea, Russia, France, Singapore, Netherlands, Poland, Sweden, Hungary, India, Germany, Portugal, Lithuania, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2019,"After Maria","Documentary, Short"
"Spain, Brazil, United States, United Kingdom, Australia, Germany, Czech Republic, Singapore, France, Canada, Poland, India, Netherlands, Sweden, Lithuania, Hong Kong, Argentina, Russia, Slovakia, Hungary, Israel, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2017,"Super Monsters","Animation, Comedy, Family, Horror"
"Spain, Brazil, United States, United Kingdom, Australia, Singapore, Czech Republic, France, Germany, Poland, Canada, Netherlands, Sweden, India, Lithuania, Hong Kong, Argentina, Russia, Slovakia, Israel, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2017,"The Meyerowitz Stories (New and Selected)","Comedy, Drama"
"Spain, Canada, Hong Kong, United Kingdom, Australia, Germany, Russia, Singapore, Czech Republic, France, Poland, Sweden, India, Slovakia, Lithuania, Japan, Romania, South Korea, Belgium, Switzerland, Argentina, Portugal, Mexico, South Africa, Iceland, Thailand, Hungary, Turkey, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Good Girls","Comedy, Crime, Drama"
"Spain, Canada, Hong Kong, United Kingdom, Australia, Germany, Singapore, Czech Republic, France, India, Sweden, Russia, Poland, Slovakia, Lithuania, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Thailand, Hungary, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"TAU","Sci-Fi, Thriller"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Argentina, Germany, Czech Republic, Russia, France, Singapore, Poland, Netherlands, Sweden, India, Hungary, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, Belgium, Greece, South Korea, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Dude","Comedy, Drama"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Argentina, Germany, Russia, Czech Republic, Singapore, France, Poland, Netherlands, Sweden, India, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, Belgium, South Korea, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Pickpockets","Crime, Drama"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Argentina, Germany, Singapore, Russia, Czech Republic, France, India, Netherlands, Sweden, Poland, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Colombia",2018,"The Kissing Booth","Comedy, Romance"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Germany, Czech Republic, Russia, Argentina, France, Singapore, Poland, Netherlands, Sweden, Slovakia, Lithuania, India, Brazil, Israel, Hungary, Japan, Romania, Mexico, Belgium, South Korea, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"6 Balloons","Drama"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Germany, Czech Republic, Russia, Singapore, France, Poland, India, Netherlands, Sweden, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Magic for Humans","Comedy"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Germany, Czech Republic, Singapore, Russia, France, Poland, Netherlands, Sweden, India, Hungary, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, Belgium, South Korea, Greece, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Extinction","Documentary"
"Spain, Canada, Hong Kong, United Kingdom, United States, Australia, Germany, Singapore, Russia, Czech Republic, France, Poland, India, Sweden, Netherlands, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"The After Party","Comedy, Music"
"Spain, Canada, Hong Kong, United States, Argentina, Germany, Japan, Singapore, Russia, Czech Republic, France, Poland, Netherlands, Sweden, India, Hungary, Slovakia, Lithuania, Brazil, Romania, Mexico, Belgium, South Korea, Greece, Switzerland, Portugal, South Africa, Iceland, Israel, Italy, Thailand, United Kingdom, Australia, Turkey, Malaysia, Colombia",2018,"Mercury 13","Documentary"
"Spain, Canada, Hong Kong, United States, United Kingdom, Australia, Germany, Russia, Czech Republic, Singapore, France, Poland, India, Netherlands, Sweden, Hungary, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Stay Here","Reality-TV"
"Spain, Canada, Russia, France, Germany, Poland, Netherlands, Czech Republic, Singapore, Sweden, Argentina, India, Slovakia, Lithuania, Brazil, Australia, Hungary, Israel, Hong Kong, Japan, Romania, Belgium, South Korea, Greece, Switzerland, Portugal, Mexico, South Africa, Iceland, Thailand, Italy, Turkey, United States, United Kingdom",2018,"Ladies First","Documentary, Short, Sport"
"Spain, Canada, Slovakia, Hungary, United Kingdom, Germany, France, Czech Republic, Russia, Australia, Sweden, Singapore, Argentina, India, Lithuania, Brazil, Poland, Netherlands, Israel, Hong Kong, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, United States",2018,"Fary Is the New Black","Comedy"
"Spain, Canada, South Africa, Switzerland, Hong Kong, Argentina, Czech Republic, Mexico, Belgium, Japan, France, Singapore, Russia, South Korea, Poland, Sweden, Romania, Germany, Lithuania, United Kingdom, Slovakia, Greece, Portugal, Iceland, Thailand, Hungary, Turkey, India, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2019,"The Breaker Upperers","Comedy"
"Spain, Canada, United Kingdom, Australia, Czech Republic, Russia, France, Poland, Hungary, Slovakia, Lithuania, Hong Kong, Singapore, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Argentina, Portugal, South Africa, India, Thailand, Iceland, Sweden, Germany, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2017,"Marlon","Comedy"
"Spain, Canada, United Kingdom, Australia, Germany, Russia, Czech Republic, France, Poland, Sweden, Slovakia, Lithuania, Romania, Greece, Switzerland, Argentina, Portugal, South Africa, Belgium, Mexico, Iceland, Hungary, Turkey, India, United States, Brazil, Netherlands, Italy, Israel, Colombia",2017,"The Motive","Comedy, Crime, Drama"
"Spain, Canada, United Kingdom, Hong Kong, Australia, Argentina, Germany, Russia, Singapore, Czech Republic, France, Poland, India, Sweden, Hungary, Slovakia, Lithuania, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Thailand, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Spy Kids: Mission Critical","Action, Adventure, Animation, Comedy, Drama, Family, Romance, Sci-Fi, Thriller"
"Spain, Canada, United Kingdom, Hong Kong, Australia, Germany, Singapore, Russia, Czech Republic, France, Poland, India, Slovakia, Lithuania, Hungary, Japan, Romania, South Korea, Argentina, Portugal, Mexico, Switzerland, South Africa, United States, Iceland, Thailand, Turkey, Sweden, Belgium, Greece, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Unsolved","Biography, Crime"
